"LBDSF2LC.Code.or.Value","LBDSF2LC.Value.Description","LBDSF2LC.Count","LBDSF2LC.Cumulative","LBDSF2LC.Skip.to.Item"
"0","At or above the detection limit",8373,8373,NA
"1","Below lower detection limit",81,8454,NA
".","Missing",968,9422,NA
