"RHQ586Q.Code.or.Value","RHQ586Q.Value.Description","RHQ586Q.Count","RHQ586Q.Cumulative","RHQ586Q.Skip.to.Item"
"1 to 34","Range of Values",22,22,NA
"77","Refused",0,22,NA
"99","Don't know",0,22,NA
".","Missing",3449,3471,NA
