"DXXRLA.Code.or.Value","DXXRLA.Value.Description","DXXRLA.Count","DXXRLA.Cumulative","DXXRLA.Skip.to.Item"
"177.31 to 547.91","Range of Values",4660,4660,NA
".","Missing",1032,5692,NA
