"LBXMC.Code.or.Value","LBXMC.Value.Description","LBXMC.Count","LBXMC.Cumulative","LBXMC.Skip.to.Item"
"28.7 to 42.2","Range of Values",8384,8384,NA
".","Missing",795,9179,NA
