"DEQ2IAFO.Code.or.Value","DEQ2IAFO.Value.Description","DEQ2IAFO.Count","DEQ2IAFO.Cumulative","DEQ2IAFO.Skip.to.Item"
"1","Present",42,42,NA
".","Missing",2950,2992,NA
