"DR2_030Z.Code.or.Value","DR2_030Z.Value.Description","DR2_030Z.Count","DR2_030Z.Cumulative","DR2_030Z.Skip.to.Item"
"1","Breakfast",20590,20590,NA
"2","Lunch",24843,45433,NA
"3","Dinner",24424,69857,NA
"4","Supper",3847,73704,NA
"5","Brunch",578,74282,NA
"6","Snack",18102,92384,NA
"7","Drink",6800,99184,NA
"8","Infant feeding",2638,101822,NA
"9","Extended consumption",1925,103747,NA
"10","Desayano",1849,105596,NA
"11","Almuerzo",1493,107089,NA
"12","Comida",1404,108493,NA
"13","Merienda",636,109129,NA
"14","Cena",1928,111057,NA
"15","Entre comida",245,111302,NA
"16","Botana",290,111592,NA
"17","Bocadillo",366,111958,NA
"18","Tentempie",25,111983,NA
"19","Bebida",595,112578,NA
"91","Other",0,112578,NA
"99","Don't know",0,112578,NA
".","Missing",0,112578,NA
