"DXXNKBMC.Code.or.Value","DXXNKBMC.Value.Description","DXXNKBMC.Count","DXXNKBMC.Cumulative","DXXNKBMC.Skip.to.Item"
"1.72 to 8.11","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
