"DXXHEA.Code.or.Value","DXXHEA.Value.Description","DXXHEA.Count","DXXHEA.Cumulative","DXXHEA.Skip.to.Item"
"163.6 to 336.95","Range of Values",4072,4072,NA
".","Missing",1042,5114,NA
