"DR2ILZ.Code.or.Value","DR2ILZ.Value.Description","DR2ILZ.Count","DR2ILZ.Cumulative","DR2ILZ.Skip.to.Item"
"0 to 77972","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
