"DS1IPROT.Code.or.Value","DS1IPROT.Value.Description","DS1IPROT.Count","DS1IPROT.Cumulative","DS1IPROT.Skip.to.Item"
"0.17 to 20","Range of Values",157,157,NA
".","Missing",5749,5906,NA
