"CIQG20.Code.or.Value","CIQG20.Value.Description","CIQG20.Count","CIQG20.Cumulative","CIQG20.Skip.to.Item"
"5 to 38","Range of Values",59,59,NA
"77","Refused",0,59,NA
"99","Don't know",0,59,NA
".","Missing",719,778,NA
