"AUXROABN.Code.or.Value","AUXROABN.Value.Description","AUXROABN.Count","AUXROABN.Cumulative","AUXROABN.Skip.to.Item"
"1","Yes (checkbox checked)",32,32,NA
"2","No (checkbox unchecked)",4337,4369,NA
".","Missing",213,4582,NA
