"LBDMPAHL.Code.or.Value","LBDMPAHL.Value.Description","LBDMPAHL.Count","LBDMPAHL.Cumulative","LBDMPAHL.Skip.to.Item"
"0","At or above the detection limit",964,964,NA
"1","Below lower detection limit",1204,2168,NA
".","Missing",171,2339,NA
