"DXXOSBCC.Code.or.Value","DXXOSBCC.Value.Description","DXXOSBCC.Count","DXXOSBCC.Cumulative","DXXOSBCC.Skip.to.Item"
"0","Valid data",5793,5793,NA
"1","Invalid data",929,6722,NA
".","Missing",1012,7734,NA
