"PUD020.Code.or.Value","PUD020.Value.Description","PUD020.Count","PUD020.Cumulative","PUD020.Skip.to.Item"
"1","Entire home",879,879,NA
"2","Kitchen or dining room, not entire home",661,1540,NA
"3","Other rooms",201,1741,NA
".","Missing",9298,11039,NA
