"BIXS012K.Code.or.Value","BIXS012K.Value.Description","BIXS012K.Count","BIXS012K.Cumulative","BIXS012K.Skip.to.Item"
"284.7 to 1036.98","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
