"SPQ010.Code.or.Value","SPQ010.Value.Description","SPQ010.Count","SPQ010.Cumulative","SPQ010.Skip.to.Item"
"1","Yes",12,12,"SPAENA"
"2","No",1790,1802,""
"7","Refused",0,1802,"SPAENA"
"9","Don't know",5,1807,"SPAENA"
".","Missing",5936,7743,""
