"PFD069I.Code.or.Value","PFD069I.Value.Description","PFD069I.Count","PFD069I.Cumulative","PFD069I.Skip.to.Item"
"21 to 29200","Range of Values",175,175,NA
"66666","Since birth",4,179,NA
"77777","Refused",0,179,NA
"99999","Don't know",2,181,NA
".","Missing",9464,9645,NA
