"LBCF05.Code.or.Value","LBCF05.Value.Description","LBCF05.Count","LBCF05.Cumulative","LBCF05.Skip.to.Item"
"0.269 to 69.3","Range of Values",246,246,NA
".","Missing",1,247,NA
