"RHQ602Q.Code.or.Value","RHQ602Q.Value.Description","RHQ602Q.Count","RHQ602Q.Cumulative","RHQ602Q.Skip.to.Item"
"1 to 17","Range of Values",7,7,NA
"77","Refused",0,7,NA
"99","Don't know",0,7,NA
".","Missing",3858,3865,NA
