"LBDBB1LC.Code.or.Value","LBDBB1LC.Value.Description","LBDBB1LC.Count","LBDBB1LC.Cumulative","LBDBB1LC.Skip.to.Item"
"0","At or above the detection limit",262,262,NA
"1","Below lower detection limit",22,284,NA
".","Missing",0,284,NA
