"WTSBA47.Code.or.Value","WTSBA47.Value.Description","WTSBA47.Count","WTSBA47.Cumulative","WTSBA47.Skip.to.Item"
"0 to 349293.04318","Range of Values",946,946,NA
".","Missing",65,1011,NA
