"LBXGH.Code.or.Value","LBXGH.Value.Description","LBXGH.Count","LBXGH.Cumulative","LBXGH.Skip.to.Item"
"4 to 16.4","Range of Values",6930,6930,NA
".","Missing",439,7369,NA
