"OHD30LAS.Code.or.Value","OHD30LAS.Value.Description","OHD30LAS.Count","OHD30LAS.Cumulative","OHD30LAS.Skip.to.Item"
"0 to 11","Range of Values",1247,1247,NA
"99","Calculation cannot be determined",539,1786,NA
".","Missing",4972,6758,NA
