"SSGI4C1.Code.or.Value","SSGI4C1.Value.Description","SSGI4C1.Count","SSGI4C1.Cumulative","SSGI4C1.Skip.to.Item"
"0 to 100000","Range of Values",960,960,NA
".","Missing",76,1036,NA
