"SXD642.Code.or.Value","SXD642.Value.Description","SXD642.Count","SXD642.Cumulative","SXD642.Skip.to.Item"
"0 to 14610","Range of Values",1074,1074,NA
"77777","Refused",3,1077,NA
"99999","Don't know",10,1087,NA
".","Missing",3756,4843,NA
