"URDDHBLC.Code.or.Value","URDDHBLC.Value.Description","URDDHBLC.Count","URDDHBLC.Cumulative","URDDHBLC.Skip.to.Item"
"0","At or above the detection limit",2239,2239,NA
"1","Below lower detection limit",1,2240,NA
".","Missing",109,2349,NA
