"OSQ070.Code.or.Value","OSQ070.Value.Description","OSQ070.Count","OSQ070.Cumulative","OSQ070.Skip.to.Item"
"1","Yes",265,265,NA
"2","No",106,371,NA
"7","Refused",0,371,NA
"9","Don't know",4,375,NA
".","Missing",4666,5041,NA
