"DS1ICOPP.Code.or.Value","DS1ICOPP.Value.Description","DS1ICOPP.Count","DS1ICOPP.Cumulative","DS1ICOPP.Skip.to.Item"
"0.025 to 30","Range of Values",1185,1185,NA
".","Missing",4509,5694,NA
