"WHQ530.Code.or.Value","WHQ530.Value.Description","WHQ530.Count","WHQ530.Cumulative","WHQ530.Skip.to.Item"
"1","never,",461,461,NA
"2","sometimes, or",353,814,NA
"3","a lot?",39,853,NA
"7","Refused",0,853,NA
"9","Don't know",2,855,NA
".","Missing",974,1829,NA
