"WTSOG2YR.Code.or.Value","WTSOG2YR.Value.Description","WTSOG2YR.Count","WTSOG2YR.Cumulative","WTSOG2YR.Skip.to.Item"
"0 to 486575.123","Range of Values",2779,2779,NA
".","Missing",536,3315,NA
