"DXXLLBMC.Code.or.Value","DXXLLBMC.Value.Description","DXXLLBMC.Count","DXXLLBMC.Cumulative","DXXLLBMC.Skip.to.Item"
"88.1 to 865.04","Range of Values",5299,5299,NA
".","Missing",734,6033,NA
