"DSQIFIBE.Code.or.Value","DSQIFIBE.Value.Description","DSQIFIBE.Count","DSQIFIBE.Cumulative","DSQIFIBE.Skip.to.Item"
"0.015 to 32.15","Range of Values",198,198,NA
".","Missing",9361,9559,NA
