"URXUCD.Code.or.Value","URXUCD.Value.Description","URXUCD.Count","URXUCD.Cumulative","URXUCD.Skip.to.Item"
"0.025 to 3.141","Range of Values",3061,3061,NA
".","Missing",218,3279,NA
