"FFQ0110A.Code.or.Value","FFQ0110A.Value.Description","FFQ0110A.Count","FFQ0110A.Cumulative","FFQ0110A.Skip.to.Item"
1,"Almost never or never",4029,4029,NA
2,"About 1/4 of the time",708,4737,NA
3,"About 1/2 of the time",611,5348,NA
4,"About 3/4 of the time",251,5599,NA
5,"Almost always or always",434,6033,NA
88,"Blank",437,6470,NA
99,"Error",2,6472,NA
