"PAD680.Code.or.Value","PAD680.Value.Description","PAD680.Count","PAD680.Cumulative","PAD680.Skip.to.Item"
"0 to 1200","Range of Values",7069,7069,NA
"7777","Refused",0,7069,NA
"9999","Don't know",22,7091,NA
".","Missing",2268,9359,NA
