"URDFLOW1.Code.or.Value","URDFLOW1.Value.Description","URDFLOW1.Count","URDFLOW1.Cumulative","URDFLOW1.Skip.to.Item"
"0 to 11.81","Range of Values",6835,6835,NA
".","Missing",1773,8608,NA
