"DSD070.Code.or.Value","DSD070.Value.Description","DSD070.Count","DSD070.Cumulative","DSD070.Skip.to.Item"
"1","Yes",6170,6170,NA
"2","No",879,7049,NA
".","Missing",917,7966,NA
