"TYXP156.Code.or.Value","TYXP156.Value.Description","TYXP156.Count","TYXP156.Cumulative","TYXP156.Skip.to.Item"
"-290 to 13","Range of Values",5036,5036,NA
".","Missing",3433,8469,NA
