"LBXS11MK.Code.or.Value","LBXS11MK.Value.Description","LBXS11MK.Count","LBXS11MK.Cumulative","LBXS11MK.Skip.to.Item"
"1","Positive",151,151,NA
"2","Negative",3141,3292,NA
".","Missing",261,3553,NA
