"OSQ010a.Code.or.Value","OSQ010a.Value.Description","OSQ010a.Count","OSQ010a.Cumulative","OSQ010a.Skip.to.Item"
"1","Yes",83,83,"OSQ020a"
"2","No",3731,3814,""
"7","Refused",0,3814,""
"9","Don't know",1,3815,""
".","Missing",0,3815,""
