"DS2IVB6.Code.or.Value","DS2IVB6.Value.Description","DS2IVB6.Count","DS2IVB6.Cumulative","DS2IVB6.Skip.to.Item"
"0.003 to 10000","Range of Values",1862,1862,NA
".","Missing",3837,5699,NA
