"BAQ100.Code.or.Value","BAQ100.Value.Description","BAQ100.Count","BAQ100.Cumulative","BAQ100.Skip.to.Item"
"1","Yes",619,619,NA
"2","No",2670,3289,NA
"7","Refused",5,3294,NA
"9","Don't know",188,3482,NA
".","Missing",4,3486,NA
