"SPXPTS.Code.or.Value","SPXPTS.Value.Description","SPXPTS.Count","SPXPTS.Cumulative","SPXPTS.Skip.to.Item"
"1 to 2044","Range of Values",34857,34857,NA
".","Missing",0,34857,NA
