"URXUSR.Code.or.Value","URXUSR.Value.Description","URXUSR.Count","URXUSR.Cumulative","URXUSR.Skip.to.Item"
"1.768 to 5801.79","Range of Values",2269,2269,NA
".","Missing",80,2349,NA
