"URXMOP.Code.or.Value","URXMOP.Value.Description","URXMOP.Count","URXMOP.Cumulative","URXMOP.Skip.to.Item"
"1.1879 to 27.216","Range of Values",2605,2605,NA
".","Missing",92,2697,NA
