"DS1INIAC.Code.or.Value","DS1INIAC.Value.Description","DS1INIAC.Count","DS1INIAC.Cumulative","DS1INIAC.Skip.to.Item"
"0.24 to 1515","Range of Values",1250,1250,NA
".","Missing",4818,6068,NA
