"URDBPSLC.Code.or.Value","URDBPSLC.Value.Description","URDBPSLC.Count","URDBPSLC.Cumulative","URDBPSLC.Skip.to.Item"
"0","At or above the detection limit",2414,2414,NA
"1","Below lower detection limit",268,2682,NA
".","Missing",95,2777,NA
