"VIXPLA.Code.or.Value","VIXPLA.Value.Description","VIXPLA.Count","VIXPLA.Cumulative","VIXPLA.Skip.to.Item"
"0 to 180","Range of Values",1988,1988,NA
"888","Could not obtain",70,2058,NA
".","Missing",4932,6990,NA
