"PAQ759d.Code.or.Value","PAQ759d.Value.Description","PAQ759d.Count","PAQ759d.Cumulative","PAQ759d.Skip.to.Item"
"4","CHEERLEADING",52,52,NA
".","Missing",9432,9484,NA
