"BIXS421K.Code.or.Value","BIXS421K.Value.Description","BIXS421K.Count","BIXS421K.Cumulative","BIXS421K.Skip.to.Item"
"48.03 to 822.39","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
