"DXXPT91X.Code.or.Value","DXXPT91X.Value.Description","DXXPT91X.Count","DXXPT91X.Cumulative","DXXPT91X.Skip.to.Item"
"664.3 to 1199.1","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
