"DS2TNIAC.Code.or.Value","DS2TNIAC.Value.Description","DS2TNIAC.Count","DS2TNIAC.Cumulative","DS2TNIAC.Skip.to.Item"
"0.825 to 2450","Range of Values",1391,1391,NA
".","Missing",7947,9338,NA
