"DR2IGRMS.Code.or.Value","DR2IGRMS.Value.Description","DR2IGRMS.Count","DR2IGRMS.Cumulative","DR2IGRMS.Skip.to.Item"
"0.02 to 11520","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
