"DXDSTLE.Code.or.Value","DXDSTLE.Value.Description","DXDSTLE.Count","DXDSTLE.Cumulative","DXDSTLE.Skip.to.Item"
"9407.6 to 104152.2","Range of Values",4708,4708,NA
".","Missing",1072,5780,NA
