"PFD069D.Code.or.Value","PFD069D.Value.Description","PFD069D.Count","PFD069D.Cumulative","PFD069D.Skip.to.Item"
"4 to 27740","Range of Values",159,159,NA
"66666","Since birth",3,162,NA
"77777","Refused",0,162,NA
"99999","Don't know",7,169,NA
".","Missing",10301,10470,NA
