"WTMEC2YR.Code.or.Value","WTMEC2YR.Value.Description","WTMEC2YR.Count","WTMEC2YR.Cumulative","WTMEC2YR.Skip.to.Item"
"3419.259085 to 242386.66077","Range of Values",9544,9544,NA
"0","Not MEC Examined",427,9971,NA
".","Missing",0,9971,NA
