"DS1IFA.Code.or.Value","DS1IFA.Value.Description","DS1IFA.Count","DS1IFA.Cumulative","DS1IFA.Skip.to.Item"
"5 to 20000","Range of Values",1770,1770,NA
".","Missing",3924,5694,NA
