"BPXSY2.Code.or.Value","BPXSY2.Value.Description","BPXSY2.Count","BPXSY2.Cumulative","BPXSY2.Skip.to.Item"
"76 to 238","Range of Values",7313,7313,NA
".","Missing",2231,9544,NA
