"URDTHFLC.Code.or.Value","URDTHFLC.Value.Description","URDTHFLC.Count","URDTHFLC.Cumulative","URDTHFLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2634,2634,NA
".","Missing",122,2756,NA
