"LBXSC3SI.Code.or.Value","LBXSC3SI.Value.Description","LBXSC3SI.Count","LBXSC3SI.Cumulative","LBXSC3SI.Skip.to.Item"
"16 to 43","Range of Values",6553,6553,NA
".","Missing",426,6979,NA
