"CIQPPA.Code.or.Value","CIQPPA.Value.Description","CIQPPA.Count","CIQPPA.Cumulative","CIQPPA.Skip.to.Item"
"1","Yes",5,5,"CIQPPD"
"2","No",26,31,""
"7","Refused",0,31,""
"9","Don't know",0,31,""
".","Missing",747,778,""
