"LBD2DFLC.Code.or.Value","LBD2DFLC.Value.Description","LBD2DFLC.Count","LBD2DFLC.Cumulative","LBD2DFLC.Skip.to.Item"
"0","detectable result",582,582,NA
"1","below detectable limit",2578,3160,NA
"2","detectable result and exceeds the calibrated range of assay",0,3160,NA
".","Missing",385,3545,NA
