"CKQ070Q.Code.or.Value","CKQ070Q.Value.Description","CKQ070Q.Count","CKQ070Q.Cumulative","CKQ070Q.Skip.to.Item"
"1 to 200","Range of Values",1242,1242,NA
"77777","Refused",0,1242,NA
"99999","Don't know",4,1246,NA
".","Missing",5303,6549,NA
